node	steadstate_value	DAC
ADAMTSL4	0.47615838404229194	0.01656
ATP2A3	-0.05301995811405033	0.01505
BATF2	0.48545474923937676	0.00105
CD74	0.4571774096896465	0.00856
CDKN2B	0.47670007372672035	0.01065
CSF2RA	0.4892052364258556	0.01126
HLA-B	0.5253202964678385	-0.02871
HLA-DQA1	0.5016013858686446	0.01023
HLA-F	0.5595518834859932	-0.05234
ITGB5	0.004918181439144706	-0.02139
JAK3	0.49616059531930556	-0.01899
KIT	0.00419579596472416	-0.01776
KRT18	0.0039870905714760145	-0.0076
MAP3K8	0.4413160051299298	0.02677
PSMB9	0.5352052700881555	-0.02027
RELB	0.47100970576513324	-0.00344
SOCS3	0.45172423719065435	0.00734
TAP1	0.5138539423516906	-0.00401
TOP2B	-0.014093510705221572	-0.00084
